Site_Name	ID	tag	species	stem	censinyr	growinyr	deathyr	censoryr	yrMIA	postX	postY	localX	localY	x	y	UTM_Easting	UTM_Northing	elevation	diam2011	diam2014	sex2011	sex2014	canopy2011	canopy2014	damage2010	damage2011	damage2014	Notes2011	Notes2014
Noland_Divide	1196.01	1232	piceRube	1	2012	NaN	NaN	NaN	NaN	0	40	0.1	4.0	0.1	44.0	275522.1000	3938446.0000	516.9161	7.80	8.80	UN	UN	1	1	ND				
Noland_Divide	1197.01	1233	piceRube	1	2012	NaN	NaN	NaN	NaN	0	40	0.1	4.2	0.1	44.2	275522.1000	3938446.2000	516.9161	1.00	1.60	N	N	1	0	ND				
Noland_Divide	1198.01	1234	piceRube	1	2012	NaN	NaN	NaN	NaN	0	40	1.0	6.0	1.0	46.0	275523.0000	3938448.0000	516.9161	4.30	4.19	N	N	0	0	ND				
Noland_Divide	1199.01	1280	abieFras	1	2012	NaN	2014	NaN	NaN	0	40	2.1	9.9	2.1	49.9	275524.1000	3938451.9000	517.9579	13.90	NaN	UN		1		ND				
Noland_Divide	1200.01	1282	betuAlle	1	2012	NaN	NaN	NaN	NaN	0	40	0.2	2.5	0.2	42.5	275522.2000	3938444.5000	516.9161	14.70	14.20	UN	UN	2	2	ND				
Noland_Divide	1201.01	1283	abieFras	1	2012	NaN	NaN	NaN	NaN	0	40	2.5	2.0	2.5	42.0	275524.5000	3938444.0000	516.9161	14.50	15.80	UN	UN	1	2	ND				
Noland_Divide	1202.01	1486	piceRube	1	2012	NaN	NaN	NaN	NaN	0	40	4.0	4.5	4.0	44.5	275526.0000	3938446.5000	516.9161	NaN	14.60		UN		2	ND				
Noland_Divide	1203.01	1487	piceRube	1	2012	NaN	NaN	NaN	NaN	0	40	6.6	3.5	6.6	43.5	275528.6000	3938445.5000	516.9161	3.30	3.63	N	N	0	0	ND				
Noland_Divide	1204.01	1488	piceRube	1	2012	NaN	NaN	NaN	NaN	0	40	6.5	3.5	6.5	43.5	275528.5000	3938445.5000	516.9161	2.50	2.79	N	N	0	0	ND				
Noland_Divide	1205.01	1489	piceRube	1	2012	NaN	NaN	NaN	NaN	0	40	6.0	3.0	6.0	43.0	275528.0000	3938445.0000	516.9161	3.10	3.53	N	N	0	0	ND				
Noland_Divide	1206.01	1490	acerSpic	1	2012	NaN	NaN	NaN	NaN	0	40	3.5	2.5	3.5	42.5	275525.5000	3938444.5000	516.9161	8.60	8.90	UN	UN	1	1	D				
Noland_Divide	1207.01	1491	abieFras	1	2012	NaN	NaN	NaN	NaN	0	40	4.5	0.3	4.5	40.3	275526.5000	3938442.3000	516.9161	17.70	18.90	UN	UN	2	2	ND				
Noland_Divide	1208.01	1492	abieFras	1	2012	NaN	NaN	NaN	NaN	0	40	3.0	0.2	3.0	40.2	275525.0000	3938442.2000	516.9161	14.00	15.80	UN	UN	1	2	ND				
Noland_Divide	1209.01	1858	abieFras	1	2012	NaN	NaN	NaN	NaN	0	40	5.0	8.5	5.0	48.5	275527.0000	3938450.5000	516.9161	14.20	15.10	UN	UN	2	2	ND				
Noland_Divide	1210.01	1859	piceRube	1	2012	NaN	NaN	NaN	NaN	0	40	7.0	8.6	7.0	48.6	275529.0000	3938450.6000	516.9161	2.10	2.48	N	N	0	0	ND				
Noland_Divide	2723.01	7167	piceRube	1	2014	NaN	NaN	NaN	NaN	0	40	6.0	7.5	6.0	47.5	275528.0000	3938449.5000	516.9161	NaN	2.46		N		0	ND				
Noland_Divide	2724.01	7613	abieFras	1	2014	NaN	NaN	NaN	NaN	0	40	4.0	2.9	4.0	42.9	275526.0000	3938444.9000	516.9161	NaN	0.70		N		0	ND				
Noland_Divide	2725.01	7614	piceRube	1	2014	NaN	NaN	NaN	NaN	0	40	4.1	4.8	4.1	44.8	275526.1000	3938446.8000	516.9161	NaN	1.00		N		0	ND				
Noland_Divide	2726.01	7663	piceRube	1	2014	NaN	NaN	NaN	NaN	0	40	2.2	4.0	2.2	44.0	275524.2000	3938446.0000	516.9161	NaN	0.87		N		0	ND				
Noland_Divide	2727.01	7664	piceRube	1	2014	NaN	NaN	NaN	NaN	0	40	4.0	3.2	4.0	43.2	275526.0000	3938445.2000	516.9161	NaN	1.41		UN		1	ND				
Noland_Divide	2728.01	7665	abieFras	1	2014	NaN	NaN	NaN	NaN	0	40	3.5	2.0	3.5	42.0	275525.5000	3938444.0000	516.9161	NaN	6.90		UN		2	ND				
Noland_Divide	2729.01	7666	piceRube	1	NaN	2014	NaN	NaN	NaN	0	40	2.7	2.1	2.7	42.1	275524.7000	3938444.1000	516.9161	NaN	0.78		N		0	ND				
Noland_Divide	2730.01	7667	piceRube	1	2014	NaN	NaN	NaN	NaN	0	40	2.4	2.5	2.4	42.5	275524.4000	3938444.5000	516.9161	NaN	1.13		N		0	D				
Noland_Divide	2731.01	7735	piceRube	1	2014	NaN	NaN	NaN	NaN	0	40	8.2	7.0	8.2	47.0	275530.2000	3938449.0000	517.1403	NaN	9.40		UN		1	ND				
Noland_Divide	2732.01	7778	piceRube	1	2014	NaN	NaN	NaN	NaN	0	40	2.1	6.0	2.1	46.0	275524.1000	3938448.0000	516.9161	NaN	4.90		N		0	ND				
Noland_Divide	2733.01	7779	piceRube	1	2014	NaN	NaN	NaN	NaN	0	40	1.3	6.8	1.3	46.8	275523.3000	3938448.8000	516.9161	NaN	2.48		N		0	ND				
Noland_Divide	2734.01	7909	abieFras	1	2014	NaN	NaN	NaN	NaN	0	40	6.0	6.2	6.0	46.2	275528.0000	3938448.2000	516.9161	NaN	8.20		UN		2	ND				
Noland_Divide	2735.01	7910	abieFras	1	2014	NaN	NaN	NaN	NaN	0	40	9.5	5.0	9.5	45.0	275531.5000	3938447.0000	517.1403	NaN	21.02		UN		1	D				
Noland_Divide	2736.01	7911	piceRube	1	2014	NaN	NaN	NaN	NaN	0	40	8.8	6.0	8.8	46.0	275530.8000	3938448.0000	517.1403	NaN	3.55		N		0	ND				
Noland_Divide	2737.01	7912	piceRube	1	2014	NaN	NaN	NaN	NaN	0	40	8.0	7.0	8.0	47.0	275530.0000	3938449.0000	517.1403	NaN	4.92		N		1	ND				
Noland_Divide	2738.01	7913	piceRube	1	2014	NaN	NaN	NaN	NaN	0	40	3.5	1.9	3.5	41.9	275525.5000	3938443.9000	516.9161	NaN	5.50		UN		0	ND				
Noland_Divide	2739.01	7914	piceRube	1	2014	NaN	NaN	NaN	NaN	0	40	3.0	4.7	3.0	44.7	275525.0000	3938446.7000	516.9161	NaN	9.80		UN		2	ND				
Noland_Divide	2740.01	7915	piceRube	1	2014	NaN	NaN	NaN	NaN	0	40	4.8	7.2	4.8	47.2	275526.8000	3938449.2000	516.9161	NaN	11.20		UN		2	ND				
Noland_Divide	2741.01	7916	piceRube	1	2014	NaN	NaN	NaN	NaN	0	40	5.0	8.0	5.0	48.0	275527.0000	3938450.0000	516.9161	NaN	3.38		N		0	ND				
Noland_Divide	2742.01	7917	piceRube	1	NaN	2014	NaN	NaN	NaN	0	40	4.9	9.5	4.9	49.5	275526.9000	3938451.5000	516.9161	NaN	1.97		N		0	ND				
