Site_Name	ID	tag	species	stem	censinyr	growinyr	deathyr	censoryr	yrMIA	postX	postY	localX	localY	x	y	UTM_Easting	UTM_Northing	elevation	diam2011	diam2014	sex2011	sex2014	canopy2011	canopy2014	damage	damage2011	damage2014	Notes2011	Notes2014
Purchase_Knob	305.01	2637	tsugCana	1	2011	NaN	NaN	NaN	NaN	30	30	1.0	7.0	31.0	37.0	311479.5489	3940201.9540	432.2213	8.90	9.20	UN	UN	0	0	D	ND	CD	2	3
Purchase_Knob	359.01	2638	tsugCana	1	2011	NaN	NaN	NaN	NaN	30	30	5.0	7.5	35.0	37.5	311483.4404	3940203.0060	432.2213	NaN	19.50	UN	UN	0	0	ND	ND	ND	1	1
Purchase_Knob	400.01	2639	tsugCana	1	2011	NaN	NaN	NaN	NaN	30	30	9.0	7.0	39.0	37.0	311487.4710	3940203.0680	432.1041	8.70	8.80	UN	UN	0	0	D	ND	CD	0	3
Purchase_Knob	400.02	2639	tsugCana	2	2011	NaN	NaN	NaN	NaN	30	30	9.0	7.0	39.0	37.0	311487.4710	3940203.0680	432.1041	2.33	2.26	UN	UN	0	0	D	ND	CD	3	3
Purchase_Knob	1019.01	7929	acerPens	1	2014	NaN	NaN	NaN	NaN	30	30	2.7	7.2	32.7	37.2	311481.2045	3940202.3890	432.2213	NaN	5.50	NA	UN	NA	0	ND	NA	ND		
Purchase_Knob	390.01	412	tsugCana	1	2011	NaN	NaN	NaN	NaN	30	40	8.0	5.0	38.0	45.0	311485.3674	3940210.8510	433.2611	22.40	22.80	UN	UN	0	0	ND	ND	ND	2	0
Purchase_Knob	362.01	413	querPrin	1	2011	NaN	NaN	NaN	NaN	30	40	5.5	5.0	35.5	45.0	311482.8917	3940210.5030	433.3461	29.61	29.90	UN	UN	1	1	ND	ND	ND		
Purchase_Knob	402.01	414	querRubr	1	2011	NaN	NaN	NaN	NaN	30	40	9.0	3.0	39.0	43.0	311486.6360	3940209.0090	433.2611	48.31	50.20	UN	UN	0	1	ND	ND	ND		
Purchase_Knob	307.01	420	tsugCana	1	2011	NaN	NaN	NaN	NaN	30	40	1.0	1.0	31.0	41.0	311478.9922	3940205.9150	433.3461	33.90	33.90	UN	UN	0	0	D	ND	CD	3	2
Purchase_Knob	379.01	2542	acerRubr	1	2011	NaN	NaN	NaN	NaN	30	40	7.0	4.0	37.0	44.0	311484.5163	3940209.7210	433.2611	NaN	1.95	UN	UN	0	0	ND	ND	ND		
Purchase_Knob	380.01	2543	amelUNKN	1	2011	NaN	NaN	NaN	NaN	30	40	7.0	5.0	37.0	45.0	311484.3771	3940210.7110	433.2611	2.83	1.95	UN	UN	0	0	ND	ND	ND		
