plot.id,tree.no,bearing,dist,dbh,occl,species,cr.p,height,h.cr,diameter1,diameter2,notes,date,tree.no.2012
Harv_01_CP,1,0,20,32.8,NA,RedOak,NA,NA,NA,NA,NA,NA,2014-09-19,NA
Harv_01_CP,2,0,8.5,3.2,NA,Chestnut,NA,NA,NA,NA,NA,NA,2014-09-19,NA
Harv_01_CP,3,2,7.8,3.5,NA,Chestnut,S,5.4,3,4.04,3.2,NA,2014-09-19,156
Harv_01_CP,4,6,9.2,4.7,NA,Beech,NA,NA,NA,NA,NA,NA,2014-09-19,NA
Harv_01_CP,5,6,15.8,10.8,NA,Hickory?,NA,NA,NA,NA,NA,NA,2014-09-19,NA
Harv_01_CP,6,7,13.2,7.5,P,Beech,NA,NA,NA,NA,NA,NA,2014-09-19,NA
Harv_01_CP,7,10,3.7,24.5,NA,RedMaple,NA,NA,NA,NA,NA,NA,2014-09-19,NA
Harv_01_CP,8,13,3.7,10.5,NA,RedMaple,NA,NA,NA,NA,NA,NA,2014-09-19,NA
Harv_01_CP,9,12,16.1,27.5,O,Birch,NA,NA,NA,NA,NA,NA,2014-09-19,NA
Harv_01_CP,10,12,7.6,61.2,P,RedOak,D,28.7,12.9,15.2,15.5,NA,2014-09-19,81
Harv_01_CP,11,14,20,11,O,YellowBirch,NA,NA,NA,NA,NA,NA,2014-09-19,NA
Harv_01_CP,12,15,15.5,14.5,P,Dead,NA,NA,NA,NA,NA,Dead,2014-09-19,NA
Harv_01_CP,13,17,9.3,3.9,NA,Chestnut,NA,NA,NA,NA,NA,NA,2014-09-19,NA
Harv_01_CP,14,27,19,13.75,NA,Dead,NA,NA,NA,NA,NA,Dead,2014-09-19,NA
Harv_01_CP,15,29,20,22.1,P,Beech,NA,NA,NA,NA,NA,NA,2014-09-19,NA
Harv_01_CP,16,29,16,8,NA,Dead,NA,NA,NA,NA,NA,Dead,2014-09-19,NA
Harv_01_CP,17,36,8.2,19.5,NA,Dead,I,NA,NA,NA,NA,BlackBirch,2014-09-19,91
Harv_01_CP,18,39,9.4,4,NA,Chestnut,NA,NA,NA,NA,NA,NA,2014-09-19,NA
Harv_01_CP,19,50,7.4,3.75,NA,Chestnut,NA,NA,NA,NA,NA,NA,2014-09-19,NA
Harv_01_CP,20,48,12.4,15.3,NA,Dead,NA,NA,NA,NA,NA,Dead,2014-09-19,NA
Harv_01_CP,21,48,18.7,29,P,RedMaple,NA,NA,NA,NA,NA,NA,2014-09-19,NA
