plot.id,tree.no,bearing,dist,dbh,occl,species,cr.p,height,h.cr,diameter1,diameter2,notes,date
Harv_01_CP,1,185,4.3,NA,NA,NA,NotFound,NA,NA,NA,NA,NA,2012-08-17
Harv_01_CP,2,183,14.9,19.3,P,PaperBirch,C,20,13,3.05,4.5,NA,2012-08-17
Harv_01_CP,3,184,15.2,24.7,P,PaperBirch,C,NA,NA,NA,NA,NA,2012-08-17
Harv_01_CP,4,184,15,14.9,P,RedMaple,C,NA,NA,NA,NA,NA,2012-08-17
Harv_01_CP,5,195,5.4,16.8,V,RedMaple,C,NA,NA,NA,NA,NA,2012-08-17
Harv_01_CP,6,194,8.4,4.3,V,BlackBirch,S,NA,NA,NA,NA,NA,2012-08-17
Harv_01_CP,7,199,16.4,9.8,P,NA,Dead,NA,NA,NA,NA,NA,2012-08-17
Harv_01_CP,8,210,5.3,7.3,V,RedMaple,I,NA,NA,NA,NA,NA,2012-08-17
Harv_01_CP,9,214,4.4,9.5,V,NA,Fallen,NA,NA,NA,NA,Advanced decay from dead. Old measurement here. ,2012-08-17
Harv_01_CP,10,227,4.7,10.7,V,RedMaple,I,NA,NA,NA,NA,NA,2012-08-17
Harv_01_CP,11,220,15.2,47.3,V,RedOak,D,21,8.9,8.8,9.5,one branch died,2012-08-17
Harv_01_CP,16,227,8.1,16.4,O,RedOak,C,NA,NA,NA,NA,NA,2012-08-17
Harv_01_CP,17,227,14.3,NA,NA,NA,NotFound,NA,NA,NA,NA,NA,2012-08-17
Harv_01_CP,18,228,18.5,11.2,V,RedMaple,I,NA,NA,NA,NA,#21 in SW plot,2012-08-17
Harv_01_CP,19,228,19.4,14,V,RedMaple,I,NA,NA,NA,NA,#22 in SW plot; attached to #146,2012-08-17
Harv_01_CP,20,230,15.3,12.5,V,RedMaple,I,NA,NA,NA,NA,#24 in SW plot,2012-08-17
Harv_01_CP,21,235,12.3,56.3,V,RedOak,D,23.9,15,14.1,14.5,NA,2012-08-17
Harv_01_CP,22,238,11.8,19,V,RedMaple,I,NA,NA,NA,NA,NA,2012-08-17
Harv_01_CP,24,243,8.2,9.3,V,RedMaple,I,NA,NA,NA,NA,NA,2012-08-17
Harv_01_CP,25,246,14.7,11.1,V,RedMaple,I,NA,NA,NA,NA,NA,2012-08-17
Harv_01_CP,26,245,19,10.6,V,RedMaple,C,NA,NA,NA,NA,#15 in SW plot,2012-08-17
Harv_01_CP,27,250,8.4,47,V,RedOak,D,NA,NA,NA,NA,NA,2012-08-17
Harv_01_CP,29,258,9.8,26.1,O,RedOak,C,15,6.9,7.7,5.8,NA,2012-08-17
Harv_01_CP,30,260,9.6,8.4,O,Beech,I,NA,NA,NA,NA,NA,2012-08-17
Harv_01_CP,31,260,9.3,9.5,V,Beech,I,NA,NA,NA,NA,NA,2012-08-17
Harv_01_CP,32,261,9.6,14.4,V,RedMaple,I,NA,NA,NA,NA,NA,2012-08-17
Harv_01_CP,33,260,15.5,21.5,V,RedMaple,C,NA,NA,NA,NA,NA,2012-08-17
Harv_01_CP,34,263,19.2,16.2,V,BlackBirch,C,NA,NA,NA,NA,NA,2012-08-17
Harv_01_CP,35,271,7.4,14.9,V,RedMaple,I,NA,NA,NA,NA,NA,2012-08-17
Harv_01_CP,36,272,18.7,16.3,O,RedMaple,C,NA,NA,NA,NA,NA,2012-08-17
Harv_01_CP,37,273,18.7,16.8,V,RedMaple,C,NA,NA,NA,NA,NA,2012-08-17
Harv_01_CP,38,273,18.7,18.7,V,RedMaple,C,NA,NA,NA,NA,NA,2012-08-17
Harv_01_CP,40,280,18.4,10.8,V,BlackBirch,I,NA,NA,NA,NA,NA,2012-08-17
Harv_01_CP,42,289,11.4,26.4,V,RedMaple,C,22.7,7.3,6.7,6.4,NA,2012-08-17
Harv_01_CP,43,293,15.1,68.3,V,WhitePine,D,27.2,13.1,11,10,NA,2012-08-17
Harv_01_CP,44,292,18.2,17.2,O,RedOak,I,NA,NA,NA,NA,NA,2012-08-17
Harv_01_CP,45,300,1.7,39.9,V,RedOak,D,NA,NA,NA,NA,NA,2012-08-17
Harv_01_CP,46,300,6.4,5.9,O,NA,Dead,NA,NA,NA,NA,NA,2012-08-17
Harv_01_CP,47,301,7.7,4.2,O,RedMaple,S,NA,NA,NA,NA,NA,2012-08-17
Harv_01_CP,48,301,13.3,16.9,O,RedMaple,I,NA,NA,NA,NA,NA,2012-08-17
Harv_01_CP,49,301,14.5,12.6,V,RedMaple,I,NA,NA,NA,NA,NA,2012-08-17
Harv_01_CP,55,308,8.4,30.3,V,RedMaple,C,NA,NA,NA,NA,NA,2012-08-17
Harv_01_CP,56,310,7.5,NA,V,Chestnut,Dead,NA,NA,NA,NA,New one occupies the location but DBH<3cm,2012-08-17
Harv_01_CP,57,311,16.5,60.1,V,RedOak,C,NA,NA,NA,NA,NA,2012-08-17
