plot.id,tree.no,bearing,dist,dbh,occl,species,cr.p,height,h.cr,diameter1,diameter2,notes,date,tree.no.2012
Harv_01_CP,48,246,15.2,11.2,NA,RedMaple,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_CP,49,211,15.9,19.7,V,BlackBirch,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_CP,50,243,8,8.5,V,RedMaple,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_CP,51,249,8.6,47.4,V,RedOak,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_CP,52,260,10,26.1,V,RedOak,C,14.5,7,5.3,7.2,Top off,2013-09-20,29
Harv_01_CP,53,261,10,8.5,V,Beech,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_CP,54,261,9.4,9.6,V,Beech,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_CP,55,262,9.7,15,V,RedMaple,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_CP,56,272,7.6,15,V,RedMaple,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_CP,57,288,11.6,26.4,V,RedMaple,C,23.2,5.4,8,6.8,NA,2013-09-20,42
Harv_01_CP,58,305,13.1,16.7,V,RedMaple,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_CP,59,293,14.7,69.3,V,WhitePine,D,26.5,14.5,8.7,10.3,NA,2013-09-20,43
Harv_01_CP,60,260,15.5,21.8,V,RedMaple,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_CP,61,309,9,30.7,V,RedMaple,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_CP,62,305,13.3,12.4,V,RedMaple,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_CP,63,313,16.8,60.4,V,RedOak,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_CP,64,303,2,40.2,V,RedOak,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_CP,65,324,9,13.1,V,Dead,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_CP,66,323,2.9,19.2,V,RedMaple,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_CP,67,325,3,8.8,V,Dead,NA,NA,NA,NA,NA,RedMaple,2013-09-20,61
Harv_01_CP,68,354,15.6,29.3,V,BlackBirch,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_CP,69,357,17.2,13.9,NA,BlackBirch,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_CP,70,334,14.6,12.8,NA,BlackBirch,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_CP,71,358,17.1,20.3,NA,BlackBirch,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_CP,72,12,16.3,27.2,NA,BlackBirch,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_CP,73,15,15,14.4,NA,RedMaple,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_CP,74,5,16.6,10.8,NA,Beech,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_CP,75,50,19.3,29,NA,RedMaple,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_CP,76,55,18.4,50.3,NA,RedOak,D,26.5,11.3,12.1,11.6,NA,2013-09-20,102
